	name	openPrice	close	dividend	pricebookvalue	new PE ratio	margin	newevebita	roe
306	8Telecom	0.07	0.075	0.904	-2.995	-6.642519685039369	-1.165137614678899	-4.505	-0.3659942363112392
307	A-Sonic Aero	0.196	0.196	0.002	0.313	10.420072727272728	0.003735144312393888	9.005347593582888	0.00904530877394951
308	Abterra	0.044	0.045	0.0	0.185	-1.7879715061058346	-0.023284468595981298	-0.7735849056603774	-0.07405546623794212
309	Ace Achieve Info	0.008	0.008	0.0	0.063	6.4	0.02431453698913606	9.441176470588236	0.005825483391175013
310	Acesian Partners	0.011	0.011	0.0	0.439	-1.9724820143884891	-0.18205631958087753	-0.09003831417624521	-0.10028860028860029
311	Acromec	0.085	0.085	0.003	1.619	-3.4337026239067057	-0.0810683053651619	-2.5	-0.12699000370233246
313	Advanced Systems	0.001	0.001	0.0	15.152	-3.062294924554184	-0.2413108242303873	-8.443333333333333	-0.49290060851926976
314	Advancer Global	0.2	0.205	0.003	1.662	21.649894957983193	0.036000605052185754	21.072649572649574	0.07026867434307647
315	AEI	0.77	0.77	0.005	0.792	-4.737754880694143	-1.0950118764845607	-1.3590909090909091	-0.0940528409670509
316	AF Global	0.167	0.163	0.01	0.573	28.678220000000007	0.10674257249599715	20.784782608695654	0.013520517385131938
317	AGV	0.02	0.02	0.0	-0.605	-0.30735537190082646	-1.5143929912390488	-2.168724279835391	-1.7587209302325582
318	AIMS Property	1.75	1.75	0.003	0.73	6.073929961089494	0.8521220159151194	4.986770428015564	0.0
320	Amara	0.44	0.44	0.01	0.673	10.928155507559394	0.2240611691831204	17.935714285714283	0.05058561314570405
321	AMOS	0.035	0.035	0.005	0.611	-1.6941474096161016	-0.8687064918245103	-2.264889529298751	-0.34695461011250484
322	AnAn Intl	0.002	0.002	0.0	0.085	-0.043765210648746444	-0.07130482860302248	-0.4005849508109545	-0.36575912270750616
323	Annica	0.001	0.001	0.0	2.564	-9.984425925925926	-0.11481218993621545	-11.19047619047619	-0.12319391634980989
325	Artivision Tech	0.007	0.007	0.0	-2.066	-2.118607744107744	-0.5233480176211454	-12.180555555555555	2.258555133079848
326	Asia Fashion	0.046	0.064	0.0	1.351	-1.7153605015673983	-0.731651376146789	-31.046242774566473	-0.3058485139022052
328	Asian Healthcare	0.23	0.27	0.004	5.928	35.91440816326531	0.2237442922374429	19.423376623376623	0.0
329	Asiatravel.com	0.027	0.027	0.006	1.125	-0.5690136022514071	-0.24687355257063456	-0.6326018808777429	-0.664381427235899
330	ASL Marine	0.07	0.07	0.0	0.15	-0.6240104830712566	-0.24056844903384111	15.657160380251456	-0.1260783368161603
331	Anchor Resources	0.025	0.024	0.0	3.728	-4.706892086330935	-2.574074074074074	-7.541062801932368	-0.5119705340699816
332	AnnAik	0.1	0.1	0.002	0.438	5.332679738562091	0.08103813559322035	36.55621301775148	0.05576479164135585
334	Atlantic Nav	0.1	0.1	0.008	0.252	-4.842830712303423	-0.1486932599724897	12.191253263707571	-0.0698546042003231
335	AVIC	0.107	0.107	0.0	0.845	7.601258706467663	0.03331123632747762	15.264751552795031	0.011379720319311554
337	Ayondo	0.056	0.048	0.0	0.555	-1.2465573102394294	-2.298594847775176	1.34793683138054	-0.11662309885931559
338	Azeus	0.38	0.44	0.011	0.837	7.719298245614035	0.07880184331797235	4.7	0.0
342	Brook Crompton	0.825	0.845	0.05	0.956	8.254462809917355	0.07808130780813079	3.588235294117647	0.057811753463927376
345	Capital World	0.045	0.05	0.0	0.633	4.037676272225629	0.34650520501380916	3.1122448979591835	0.0631240808112083
346	Captii	0.375	0.37	0.013	0.309	9.311181102362204	0.037585084344480615	1.902	0.0
347	BH Global	0.08	0.08	0.005	0.288	-0.3722373012795657	-0.6444277861069465	-1.1261061946902655	-0.6938391175679313
349	Boardroom	0.735	0.745	0.025	1.657	13.395943396226416	0.14902862985685073	11.14537712895377	0.0810116028625026
